x,vx,y,vy
8.189605653968271781e+01,2.094569995763290393e+01,9.958993814515199006e+01,7.794407037011394479e+00
8.231184301110165791e+01,2.161597414246035243e+01,1.023300012751284527e+02,8.631454706414002587e+00
8.289510660084961557e+01,2.220870882740658203e+01,1.034839178132646396e+02,9.345462161339936458e+00
8.840313983266558751e+01,2.272417750403892356e+01,1.018189956039440744e+02,1.019548760985918712e+01
9.116939740425884509e+01,2.349626718484374166e+01,1.044764282932958537e+02,1.090918087795752989e+01
8.921025207642367150e+01,2.400622889827879902e+01,1.081545156609602998e+02,1.176526136172080506e+01
9.366151898660797315e+01,2.466054933943923544e+01,1.058753529663836588e+02,1.257614688243053358e+01
9.466796098111741742e+01,2.524892645190447382e+01,1.080393327205120642e+02,1.327715473655295142e+01
9.947274102629192782e+01,2.576104220437332160e+01,1.121336552548216332e+02,1.414793499298227530e+01
1.013364017393247565e+02,2.638662260000022641e+01,1.094606949592755143e+02,1.484076995269804122e+01
1.057099053548395062e+02,2.704094037859856670e+01,1.136528407227719981e+02,1.570274087197245549e+01
1.066312605179208504e+02,2.764372761503788922e+01,1.125553340081988267e+02,1.649238273113441622e+01
1.098709103689109270e+02,2.828282784145453022e+01,1.178963919522081198e+02,1.735961177945703326e+01
1.149490291305395715e+02,2.887563834977338217e+01,1.168375867975628637e+02,1.817635830099016658e+01
1.154144277268111551e+02,2.943100716787536797e+01,1.187891442909355817e+02,1.886684070733466356e+01
1.181224408234040766e+02,2.992464471562367478e+01,1.202301466866393440e+02,1.975296531009627188e+01
1.227144130963018966e+02,3.056161213745426508e+01,1.264949888952443615e+02,2.058809368122461336e+01
1.247412975293463973e+02,3.126361783913073822e+01,1.284905626739189017e+02,2.133247127627279482e+01
1.297406855660226483e+02,3.185220741577350267e+01,1.260705976763475320e+02,2.218427533982067956e+01
1.291438020637251043e+02,3.241845404651297002e+01,1.323501975428029027e+02,2.291347974860010694e+01
1.366647263292798868e+02,3.299947710864456241e+01,1.329652620837995585e+02,2.382010697195296700e+01
1.392023160047073986e+02,3.352916732532465005e+01,1.329681266058015296e+02,2.460720751125858996e+01
1.389023780669509165e+02,3.424735656569397690e+01,1.355484517666718318e+02,2.528200706755679406e+01
